cluster_label,year,quarter,num_sales,sentiment_score,rating
6,2006,4,1,4.9,5.0
6,2007,1,0,0.0,0.0
6,2007,2,0,0.0,0.0
6,2007,3,0,0.0,0.0
6,2007,4,0,0.0,0.0
6,2008,1,0,0.0,0.0
6,2008,2,0,0.0,0.0
6,2008,3,2,4.8,4.0
6,2008,4,0,0.0,0.0
6,2009,1,1,4.9,5.0
6,2009,2,0,0.0,0.0
6,2009,3,0,0.0,0.0
6,2009,4,0,0.0,0.0
6,2010,1,0,0.0,0.0
6,2010,2,4,3.925,4.25
6,2010,3,0,0.0,0.0
6,2010,4,1,4.9,4.0
6,2011,1,2,4.45,4.5
6,2011,2,0,0.0,0.0
6,2011,3,1,4.5,1.0
6,2011,4,0,0.0,0.0
6,2012,1,0,0.0,0.0
6,2012,2,2,2.75,2.5
6,2012,3,2,3.5,2.5
6,2012,4,15,4.3533333333333335,4.066666666666666
6,2013,1,28,4.589285714285714,4.178571428571429
6,2013,2,17,4.352941176470588,3.8823529411764706
6,2013,3,27,4.337037037037037,3.8518518518518516
6,2013,4,31,4.448387096774193,3.4838709677419355
6,2014,1,59,4.2322033898305085,3.6271186440677967
6,2014,2,30,3.94,3.2
6,2014,3,44,4.095454545454545,3.772727272727273
6,2014,4,97,4.06701030927835,3.8556701030927836
6,2015,1,201,4.2029850746268655,3.8756218905472637
6,2015,2,200,3.8615,3.55
6,2015,3,218,4.158715596330276,4.004587155963303
6,2015,4,251,4.027888446215139,3.8286852589641436
6,2016,1,489,4.098977505112475,3.903885480572597
6,2016,2,611,4.1,3.872340425531915
6,2016,3,735,4.118367346938776,3.9659863945578233
6,2016,4,820,4.0946341463414635,3.868292682926829
6,2017,1,1004,4.098605577689243,3.853585657370518
6,2017,2,1010,4.040693069306931,3.774257425742574
6,2017,3,849,4.019199057714959,3.828032979976443
6,2017,4,589,3.989983022071307,3.7504244482173177
6,2018,1,652,4.041104294478528,3.696319018404908
6,2018,2,740,3.9702702702702704,3.7256756756756757
6,2018,3,607,4.022570016474464,3.7528830313014825
6,2018,4,618,4.0224919093851135,3.72168284789644
6,2019,1,723,4.0103734439834025,3.6791147994467495
6,2019,2,927,3.957497303128371,3.709816612729234
6,2019,3,974,4.059034907597536,3.751540041067762
6,2019,4,890,3.9940449438202243,3.7235955056179777
6,2020,1,835,4.071377245508982,3.770059880239521
6,2020,2,579,3.967530224525043,3.6632124352331608
6,2020,3,716,3.960474860335195,3.7360335195530725
6,2020,4,553,4.05497287522604,3.8300180831826403
6,2021,1,700,3.9908571428571427,3.7657142857142856
6,2021,2,759,3.9455862977602107,3.595520421607378
6,2021,3,639,3.9035993740219093,3.575899843505477
6,2021,4,493,3.769371196754564,3.4563894523326573
6,2022,1,396,3.9083333333333337,3.621212121212121
6,2022,2,429,3.9265734265734267,3.5734265734265733
6,2022,3,351,3.893162393162393,3.5954415954415953
6,2022,4,191,3.9010471204188484,3.738219895287958
6,2023,1,236,4.049152542372881,3.906779661016949
6,2023,2,79,4.037974683544304,3.8607594936708862
6,2023,3,16,4.11875,4.25
7,2002,3,0,0.0,0.0
7,2002,4,0,0.0,0.0
7,2003,1,0,0.0,0.0
7,2003,2,0,0.0,0.0
7,2003,3,0,0.0,0.0
7,2003,4,0,0.0,0.0
7,2004,1,0,0.0,0.0
7,2004,2,0,0.0,0.0
7,2004,3,0,0.0,0.0
7,2004,4,0,0.0,0.0
7,2005,1,0,0.0,0.0
7,2005,2,0,0.0,0.0
7,2005,3,0,0.0,0.0
7,2005,4,0,0.0,0.0
7,2006,1,0,0.0,0.0
7,2006,2,0,0.0,0.0
7,2006,3,0,0.0,0.0
7,2006,4,0,0.0,0.0
7,2007,1,0,0.0,0.0
7,2007,2,0,0.0,0.0
7,2007,3,1,4.0,4.0
7,2007,4,0,0.0,0.0
7,2008,1,0,0.0,0.0
7,2008,2,0,0.0,0.0
7,2008,3,0,0.0,0.0
7,2008,4,0,0.0,0.0
7,2009,1,0,0.0,0.0
7,2009,2,0,0.0,0.0
7,2009,3,0,0.0,0.0
7,2009,4,0,0.0,0.0
7,2010,1,1,4.8,5.0
7,2010,2,0,0.0,0.0
7,2010,3,1,4.8,5.0
7,2010,4,1,1.8,1.0
